iter	Passed	Remaining
0	1	105
1	1	94
2	2	86
3	3	84
4	5	96
5	5	91
6	6	88
7	7	86
8	8	89
9	9	87
10	10	84
11	11	82
12	12	82
13	14	87
14	14	84
15	15	82
16	16	80
17	17	79
18	18	80
19	19	79
20	20	77
21	22	78
22	23	77
23	24	77
24	25	75
25	26	74
26	26	72
27	28	74
28	30	74
29	31	73
30	33	74
31	34	74
32	35	72
33	36	71
34	37	69
35	37	67
36	38	66
37	39	64
38	40	63
39	41	62
40	42	60
41	43	59
42	43	58
43	44	56
44	45	55
45	46	55
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	51	47
52	52	46
53	53	45
54	53	44
55	54	42
56	55	42
57	56	41
58	57	40
59	58	38
60	59	37
61	59	36
62	60	35
63	61	34
64	62	33
65	64	33
66	65	32
67	66	31
68	66	30
69	67	29
70	68	28
71	69	26
72	70	25
73	72	25
74	73	24
75	75	23
76	76	22
77	77	21
78	78	20
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	96	4
96	97	397	106	2
98	107	199	100	0

99	106	0
